CountryName,CategoryName,CategoryTotal
Afghanistan,Child Labour Total,10.3
Afghanistan,Child Labour Male,11
Afghanistan,Child Labour Female,9.6
Afghanistan,Child marriage <15,15
Afghanistan,Child Marriage <18,40.4
Afghanistan,Birth Registration Total,37.4
Afghanistan,Wife Beating Justification Female,90.2
Afghanistan,Violent Discipline Total,74.4
Afghanistan,Violent Discipline Male,74.8
Afghanistan,Violent Discipline Female,74.1
Albania,Child Labour Total,12
Albania,Child Labour Male,14.4
Albania,Child Labour Female,9.4
Albania,Child marriage <15,0.2
Albania,Child Marriage <18,9.6
Albania,Birth Registration Total,98.6
Albania,Wife Beating Justification Male,36.4
Albania,Wife Beating Justification Female,29.8
Albania,Violent Discipline Total,75.1
Albania,Violent Discipline Male,78.3
Albania,Violent Discipline Female,71.4
Algeria,Child Labour Total,4.7
Algeria,Child Labour Male,5.5
Algeria,Child Labour Female,3.9
Algeria,Child marriage <15,0.1
Algeria,Child Marriage <18,1.8
Algeria,Birth Registration Total,99.3
Algeria,Wife Beating Justification Female,67.9
Algeria,Violent Discipline Total,87.7
Algeria,Violent Discipline Male,88.8
Algeria,Violent Discipline Female,86.5
Andorra,Birth Registration Total,100
Angola,Child Labour Total,23.5
Angola,Child Labour Male,22.1
Angola,Child Labour Female,24.8
Angola,Birth Registration Total,36
Argentina,Child Labour Total,6.5
Argentina,Child Labour Male,7.6
Argentina,Child Labour Female,5.2
Argentina,Birth Registration Total,99
Armenia,Child Labour Total,3.9
Armenia,Child Labour Male,4.7
Armenia,Child Labour Female,2.9
Armenia,Child Marriage <18,7.2
Armenia,Birth Registration Total,99.6
Armenia,Wife Beating Justification Male,19.9
Armenia,Wife Beating Justification Female,9.3
Armenia,Violent Discipline Total,69.6
Armenia,Violent Discipline Male,72
Armenia,Violent Discipline Female,66.9
Australia,Birth Registration Total,100
Austria,Birth Registration Total,100
Azerbaijan,Child Labour Total,6.5
Azerbaijan,Child Labour Male,7.5
Azerbaijan,Child Labour Female,5.4
Azerbaijan,Child marriage <15,0.7
Azerbaijan,Child Marriage <18,12.2
Azerbaijan,Birth Registration Total,93.6
Azerbaijan,Wife Beating Justification Male,58.3
Azerbaijan,Wife Beating Justification Female,49
Azerbaijan,Violent Discipline Total,75.2
Azerbaijan,Violent Discipline Male,78.8
Azerbaijan,Violent Discipline Female,71.4
Bahrain,Child Labour Total,4.6
Bahrain,Child Labour Male,6.3
Bahrain,Child Labour Female,3
Bangladesh,Child Labour Total,12.8
Bangladesh,Child Labour Male,17.5
Bangladesh,Child Labour Female,8.1
Bangladesh,Child marriage <15,29.1
Bangladesh,Child Marriage <18,64.9
Bangladesh,Birth Registration Total,30.5
Bangladesh,Wife Beating Justification Female,32.5
Belarus,Child Labour Total,1.4
Belarus,Child Labour Male,1.3
Belarus,Child Labour Female,1.5
Belarus,Child Marriage <18,3.2
Belarus,Birth Registration Total,100
Belarus,Wife Beating Justification Male,4.2
Belarus,Wife Beating Justification Female,4.1
Belarus,Violent Discipline Total,64.5
Belarus,Violent Discipline Male,67.4
